"filename", "language", "HTML", "JavaScript", "CSS", "comment", "blank", "total"
"c:\MyProjects\Web Development\Chinguetti Quizz\JavaScript\app.js", "JavaScript", 0, 108, 0, 0, 4, 112
"c:\MyProjects\Web Development\Chinguetti Quizz\JavaScript\final_level.js", "JavaScript", 0, 153, 0, 3, 42, 198
"c:\MyProjects\Web Development\Chinguetti Quizz\JavaScript\logic_business.js", "JavaScript", 0, 160, 0, 2, 40, 202
"c:\MyProjects\Web Development\Chinguetti Quizz\JavaScript\particles.js", "JavaScript", 0, 1081, 0, 111, 349, 1541
"c:\MyProjects\Web Development\Chinguetti Quizz\JavaScript\particles.min.js", "JavaScript", 0, 1, 0, 8, 0, 9
"c:\MyProjects\Web Development\Chinguetti Quizz\JavaScript\start.js", "JavaScript", 0, 6, 0, 0, 2, 8
"c:\MyProjects\Web Development\Chinguetti Quizz\JavaScript\userInfo.js", "JavaScript", 0, 8, 0, 0, 2, 10
"c:\MyProjects\Web Development\Chinguetti Quizz\about.html", "HTML", 65, 0, 0, 0, 1, 66
"c:\MyProjects\Web Development\Chinguetti Quizz\css\about_style.css", "CSS", 0, 0, 134, 0, 17, 151
"c:\MyProjects\Web Development\Chinguetti Quizz\css\final_level_style.css", "CSS", 0, 0, 313, 8, 18, 339
"c:\MyProjects\Web Development\Chinguetti Quizz\css\final_score.css", "CSS", 0, 0, 0, 0, 1, 1
"c:\MyProjects\Web Development\Chinguetti Quizz\css\first_level_style.css", "CSS", 0, 0, 356, 8, 42, 406
"c:\MyProjects\Web Development\Chinguetti Quizz\css\index_style.css", "CSS", 0, 0, 132, 2, 25, 159
"c:\MyProjects\Web Development\Chinguetti Quizz\css\test2_style.css", "CSS", 0, 0, 119, 5, 8, 132
"c:\MyProjects\Web Development\Chinguetti Quizz\css\test_style.css", "CSS", 0, 0, 84, 0, 18, 102
"c:\MyProjects\Web Development\Chinguetti Quizz\final_level.html", "HTML", 170, 0, 0, 0, 5, 175
"c:\MyProjects\Web Development\Chinguetti Quizz\final_score.html", "HTML", 88, 0, 0, 0, 16, 104
"c:\MyProjects\Web Development\Chinguetti Quizz\first_level.html", "HTML", 241, 0, 0, 1, 12, 254
"c:\MyProjects\Web Development\Chinguetti Quizz\index.html", "HTML", 37, 0, 0, 0, 2, 39
"c:\MyProjects\Web Development\Chinguetti Quizz\register.html", "HTML", 162, 0, 0, 1, 14, 177
"c:\MyProjects\Web Development\Chinguetti Quizz\test_home.html", "HTML", 148, 0, 0, 0, 4, 152
"c:\MyProjects\Web Development\Chinguetti Quizz\test_home2.html", "HTML", 77, 0, 0, 0, 8, 85
"Total", "-", 988, 1517, 1138, 149, 630, 4422